Version,4,,,,,,,,,,,,,,,,,,,,,,,,
装備ID,図鑑番号,装備名,種類,耐久,装甲,火力,雷撃,速力,爆装,対空,対潜,api_atap,命中,雷撃命中,回避,雷撃回避,爆装回避,索敵,索敵妨害,運,射程,レアリティ,破棄時資材,説明,弾薬消費
71,71,10cm連装高角砲(砲架),"[1,2,4,16]",0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,3,"[0,1,3,0]",「長10cm」と呼ばれた長砲身の新型高性能防空用高角砲、その大型艦対空火器バージョンです。<br>複雑な構造のため量産には不向きでしたが、敵機の跳梁から大切な艦と艦隊を守る艦隊防空の切り札です。航空母艦や戦艦、巡洋艦などの大型艦の副砲として運用可能です。,0
72,72,増設バルジ(中型艦),"[6,17,27,23]",0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,2,"[0,0,12,0]",艦艇の防御力を強化する増加装甲の一種です。<br>重巡洋艦以上の中型艦艇の船体側面への増設が可能です。<br>(重巡・航空巡洋艦・軽空母・水上機母艦用),0
73,73,増設バルジ(大型艦),"[6,17,28,23]",0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,2,"[0,0,30,0]",艦艇の防御力を強化する増加装甲の一種です。<br>戦艦等の大型艦艇の船体側面への増設が可能です。<br>(戦艦・巡洋戦艦・航空戦艦・正規空母(含む装甲空母)用),0
74,74,探照灯,"[8,18,29,24]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"[0,0,1,1]",夜戦時照射用の探照灯です。<br>夜戦時に味方艦隊の射撃・雷撃を支援できますが、敵艦隊からの集中攻撃を浴びるリスクがあります。<br>(駆逐艦・軽巡洋艦・重巡洋艦・航空巡洋艦・水上機母艦・巡洋戦艦が装備可能です),0
75,75,ドラム缶(輸送用),"[9,19,30,25]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0,0,1,0]",ドラム缶を繋いだ簡易輸送用部材です。”東京急行”などに用いられました。<br>駆逐艦の甲板などに搭載し、敵制海権内に進入、強行輸送を敢行します。<br>(駆逐艦・軽巡洋艦・航空巡洋艦・水上機母艦・揚陸艦で運用可能です),0
76,76,38cm連装砲,"[1,1,3,3]",0,0,16,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,"[0,11,18,0]",ビスマルク級戦艦に搭載された、かの国の戦艦主砲です。<br>主に電動を用いた砲塔旋回・揚弾・装填などが可能です。<br>短～中距離での砲撃戦を意識した戦艦主兵装です。,0
77,77,15cm連装副砲,"[1,2,4,4]",0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,"[0,2,4,0]",ビスマルク級戦艦に搭載された、かの国の戦艦副砲です。<br>主に近距離へ接近する小艦艇に指向する射撃を担当します。艦の射撃指揮装置は充実していますが、本副砲は対空戦闘には不向きです。,0
78,78,12.7cm単装砲,"[1,1,1,1]",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"[0,1,1,0]",Z1型駆逐艦に搭載された、かの国の駆逐艦主砲です。<br>単装砲ではありますが、対艦・対地射撃では優れた火砲です。本兵装は残念ながら対空戦闘には不向きです。,0
79,79,瑞雲(六三四空),"[5,7,11,10]",0,0,0,0,0,6,2,5,0,1,0,0,0,0,6,0,0,0,2,"[2,3,0,5]",急降下爆撃も可能な多用途水上偵察機「瑞雲」。<br>「伊勢」型航空戦艦等での艦隊運用を前提に編成・錬成した、六三四航空隊所属の瑞雲飛行隊です。,0
80,80,瑞雲12型,"[5,7,11,10]",0,0,0,0,0,7,3,5,0,1,0,0,0,0,6,0,0,0,3,"[2,3,0,6]",急降下爆撃まで可能な多用途水上偵察機「瑞雲」。<br>空戦フラップ装備の高性能多用途機である本機のエンジンを、より強力な金星62型に換装した「瑞雲改良型」の新鋭機です。,0
81,81,瑞雲12型(六三四空),"[5,7,11,10]",0,0,0,0,0,9,3,6,0,1,0,0,0,0,7,0,0,0,4,"[2,3,0,6]",高性能多用途水上偵察機「瑞雲」の改良型「瑞雲12型」。<br>同機によって編成された「伊勢」型航空戦艦などでの艦隊運用を担う六三四航空隊所属の「瑞雲12型」飛行隊です。,0
82,82,九七式艦攻(九三一空),"[3,5,8,8]",0,0,0,6,0,0,0,7,0,0,0,0,0,0,2,0,0,0,2,"[2,3,0,4]",初期の機動部隊を支えた主力攻撃機「九七艦攻」。<br>旧式化した同機を対潜哨戒機バージョンとして運用する九三一航空隊所属の「九七艦攻」装備飛行隊です。,0
83,83,天山(九三一空),"[3,5,8,8]",0,0,0,9,0,0,0,8,0,0,0,0,0,0,2,0,0,0,3,"[2,4,0,5]",登場の遅れた名艦上攻撃機「天山」。<br>この機体を用いて対潜哨戒・対潜制圧・対艦攻撃を担う九三一航空隊所属の「天山」装備飛行隊です。,0
84,84,2cm 四連装FlaK 38,"[4,6,21,15]",0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,3,"[0,3,1,1]",かの国からもたらされた四連装対空機銃です。<br>2cm Flakvierling38と呼ばれる優れた近接防空火器で、艦船だけでなく対空戦闘車両や防空陣地でも運用されました。,0
85,85,3.7cm FlaK M42,"[4,6,21,15]",0,0,1,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,3,"[0,3,1,1]",かの国からもたらされた大口径二連装高射機関砲です。<br>主に陸戦で用いられましたが、Uボートや艦船などにも一部搭載・運用されました。高い近接防空火力を発揮します。,0
86,86,艦艇修理施設,"[10,20,31,26]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"[10,5,20,10]",工作艦に搭載される修理装備一式です。「明石」等の工作艦に搭載することで、入渠なしに艦艇の応急修理が可能です。<br>(小破程度の損害の艦を、この装備一式につき、+1隻の同時修理が可能です),0
87,87,新型高温高圧缶,"[6,31,17,19]",0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,"[20,0,25,0]",次世代駆逐艦などに搭載するための高温高圧缶です。<br>従来の艦本式ロ号缶と比べて、その性能は大きく向上しています。艦の回避率を大きく向上させると共に、将来的には新型タービンとの併用でさらに高い性能を発揮することが期待されます。,0
88,88,22号対水上電探改四,"[5,8,12,11]",0,0,0,0,0,0,0,2,0,8,0,0,0,0,5,0,0,0,3,"[0,0,16,16]",実戦運用された電探二号電波探信儀二型の改良型です。<br>新型受信機や様々な改良により、性能と安定性が向上、<br>実効力のあるレーダー射撃も可能となりました。,0
89,89,21号対空電探改,"[5,8,13,11]",0,0,0,0,0,0,5,0,0,3,0,1,0,0,6,0,0,0,3,"[0,0,21,23]",二式二号電波探信儀一型の改良型です。<br>様々な改良と調整によって、安定性が向上しました。<br>対空用ですが、対水上電探としても使用可能です。,0
90,90,20.3cm(2号)連装砲,"[1,1,2,2]",0,0,9,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,1,"[0,3,4,0]",20.3cm連装砲のマイナーバージョンアップ版、それが同2号連装砲です。<br>元々優秀な重巡洋艦用主砲を改良して、主に妙高型などに搭載されました。初期主砲搭載の他の重巡達も、近代化改装時に順次本砲に換装されていきました。,0
91,91,12.7cm連装高角砲(後期型),"[1,2,1,16]",0,0,2,0,0,0,5,1,0,1,0,1,0,0,0,0,0,1,1,"[0,2,2,0]",標準的な対空高角砲の後期改良型です。<br>量産に向いた構造で経済性も高く、量産両用砲として優れた性能を誇ります。課題のひとつである旋回速度等も改善された、頼りになる対空火器です。,0
92,92,毘式40mm連装機銃,"[4,6,21,15]",0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,"[0,2,1,0]",英国ヴィッカース社より導入した対空機銃です。<br>射撃時の音からポンポン砲とも呼ばれ、国内でライセンス生産もされました。徐々に後発の国産対空機銃に更新されていきました。,0
93,93,九七式艦攻(友永隊),"[3,5,8,8]",0,0,0,11,0,0,1,5,0,3,0,0,0,0,4,0,0,0,4,"[1,1,0,2]",優れた航続距離を誇り、速度や防弾装備は劣るものの、初期の機動部隊艦載機の主力攻撃機として大活躍した傑作艦上攻撃機「九七艦攻」。本部隊は、闘志と高い技量を兼ね備えた友永隊長の率いる九七艦攻隊です。,0
94,94,天山一二型(友永隊),"[3,5,8,8]",0,0,0,14,0,0,1,6,0,3,0,0,0,0,5,0,0,0,5,"[2,4,0,4]",旧式化した「九七艦攻」の後継機として開発された、新鋭艦上攻撃機「天山」。本部隊は、闘志溢れる空中指揮官が率いる、「天山」への機種転換が完了した熟練搭乗員で構成された精鋭艦攻隊です。,0
95,95,潜水艦53cm艦首魚雷(8門),"[2,3,32,5]",0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,"[2,4,2,0]",伊号潜水艦の艦首に装備する潜水艦専用兵装です。<br>水上艦艇に搭載するものよりやや直径の小さい、長射程高威力を誇る必殺の酸素魚雷発射管艦首8門です。高い魚雷火力を潜水艦に付与します。,0
96,96,零式艦戦21型(熟練),"[3,5,6,6]",0,0,0,0,0,0,8,0,0,2,0,2,0,0,1,0,0,0,3,"[1,1,0,2]",熟練搭乗員で構成された「零式艦上戦闘機」装備の艦戦隊です。7.7mm機銃2門と自慢の20mm機銃2門、優れた格闘戦能力と長大な航続距離。搭乗員達の高い技量もあって、初期段階では圧倒的な力を誇りました。艦隊の上空直援や攻撃隊の護衛で活躍します。,0
97,97,九九式艦爆(熟練),"[3,5,7,7]",0,0,0,0,0,7,1,4,0,2,0,0,0,0,2,0,0,0,3,"[1,1,0,2]",熟練搭乗員で構成された「九九艦爆」装備の艦爆隊です。<br>「九七艦攻」と共に初期機動部隊の打撃力の中核を担います。稼働率や信頼性は高いものの、やや設計の古い固定脚低速機であるため、より高性能な高速艦爆「彗星」にその座を譲っていきます。,0
98,98,九七式艦攻(熟練),"[3,5,8,8]",0,0,0,8,0,0,0,5,0,2,0,0,0,0,2,0,0,0,3,"[1,1,0,2]",熟練搭乗員で構成された「九七艦攻」装備の艦攻隊です。<br>速度や防弾装備は劣るものの優れた航続距離と熟練搭乗員の腕で、緒戦の機動部隊と共に大活躍を演じました。雷撃・水平爆撃をこなす主力艦上攻撃機ですが、徐々に現役を退いていきます。,0
99,99,九九式艦爆(江草隊),"[3,5,7,7]",0,0,0,0,0,10,0,5,0,4,0,0,0,0,3,0,0,0,4,"[1,1,0,2]",緒戦の空母機動部隊の打撃力の中核を担う「九九艦爆」。<br>やや設計の古い固定脚低速機ですが稼働率や信頼性は高く、特に高い練度を誇る江草隊長の率いる艦爆隊の急降下爆撃は、驚異的な命中率を誇ります。,0
100,100,彗星(江草隊),"[3,5,7,7]",0,0,0,0,0,13,1,5,0,4,0,0,0,0,4,0,0,0,5,"[2,3,0,3]",「九九艦爆」の後継機として開発された高速艦爆「彗星」。<br>液冷発動機装備のため運用のやや難しい機体でしたが、江草隊長の腕とその空中指揮、そして練度の高い母艦整備員によって支えられた精鋭「彗星」艦爆隊は、圧倒的な命中率を誇るその急降下爆撃で新生機動部隊の打撃力を担います。,0
101,101,照明弾,"[11,21,33,27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[0,2,1,1]",主砲等から発射される落下傘付の照明弾です。<br>夜戦時において敵艦隊付近を照明し、味方艦隊の夜間攻撃を支援します(敵艦隊の夜間特殊攻撃発生も少し抑えることが可能です)。,0
102,102,九八式水上偵察機(夜偵),"[5,7,10,10]",0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,3,"[2,1,0,4]",水雷戦隊旗艦用に開発された水上夜間偵察機です。<br>長時間の滞空性能を持つ黒く塗装された機体に、夜間索敵能力に優れた搭乗員が乗りこみます(条件が整えば夜戦を支援する「夜間触接」が発生する可能性があります)。,0
103,103,試製35.6cm三連装砲,"[1,1,3,3]",0,0,18,0,0,0,5,0,0,2,0,0,0,0,0,0,0,3,4,"[0,11,18,0]",高速戦艦に搭載するための新開発の試製戦艦主砲です。<br>「金剛」型高速戦艦の代替新建造艦のために計画されていた三連装の35.6cm砲で、大口径主砲よりはコンパクトで軽く、もちろん従来の35.6cm砲より火力及び命中率が大きく向上しています。高速戦艦の改装時に、ぜひ運用をお試しください！,0
104,104,35.6cm連装砲(ダズル迷彩),"[1,1,3,3]",0,0,15,0,0,0,5,0,0,1,0,1,0,0,0,0,0,3,3,"[0,10,15,0]",金剛型高速戦艦「榛名」の前部主砲の最終形態です。<br>あまり効果がなかったといわれていますが、縦縞ゼブラ模様のダズル迷彩を施しています。三式弾を装填して敵機が跳梁する空を睨み、母港呉と動けない残存艦隊の防戦に努めました。,0
105,105,試製41cm三連装砲,"[1,1,3,3]",0,0,22,0,0,0,5,0,0,2,0,0,0,0,0,0,0,3,4,"[0,14,22,0]",呉海軍工廠砲熕部で試作された純国産戦艦主砲の三連装砲です。<br>16インチを僅かに上回る、この41cm砲は「大和」型の46cm砲が登場するまで世界最大の戦艦砲でした。これを搭載した長門型戦艦は、当時世界列強の「ビッグ７」水準を遥かに超えた高火力と高命中精度を実現します。,0
106,106,13号対空電探改,"[5,8,12,11]",0,0,0,0,0,0,4,0,0,2,0,1,0,0,4,0,0,0,3,"[0,0,10,11]",艦載用対空電探の改良調整版です。<br>比較的信頼性も高く、小型軽量で駆逐艦等への装備も可能だった「13号対空電探」に、技術者達がさらに改良を加えた対空電探です。水雷戦隊の眼として活躍します。,0
107,107,艦隊司令部施設,"[12,22,34,28]",0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,5,"[1,1,1,1]",洋上において艦隊を指揮する前線司令部です。<br>司令部施設を開設できるある一定以上の大きさの艦に設営可能です。同司令部を旗艦に設営した艦隊は「連合艦隊」として出撃している際に、随伴艦隊の健在な駆逐艦を「損害の大きい艦」の護衛につけて、戦場から退避させることが可能です。,0
108,108,熟練艦載機整備員,"[13,23,35,29]",0,0,10,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,3,"[1,10,1,10]",艦載機の整備の卓越した能力を発揮できる整備要員です。<br>艦載機を装備した航空母艦に導入することで、同空母から発進する攻撃隊の能力を高めることが可能です。第一次攻撃隊のパンチ力不足を感じたら、お試しください！,0
109,109,零戦52型丙(六〇一空),"[3,5,6,6]",0,0,0,0,0,0,9,0,0,1,0,1,0,0,0,0,0,0,3,"[1,2,0,3]",零戦の最終的な量産型「零式艦上戦闘機52丙型」です。<br>武装及び防御力が強化されました。その分、若干機動性は失われています。本航空隊は同機材を装備して、再建を目指す空母機動部隊の制空戦闘を担います。,0
110,110,烈風(六〇一空),"[3,5,6,6]",0,0,0,0,0,0,11,0,0,1,0,2,0,0,0,0,0,0,4,"[2,2,0,9]",「零戦」の後継機として開発された最新鋭艦上戦闘機「烈風」。<br>用兵側の発動機選定ミスや多忙な現場設計陣などの苦境を越えて、ついに完成した新型艦戦。本航空隊は同新鋭機材を定数受領して、再建を目指す空母機動部隊、その戦闘機部隊の中核を担います。,0
111,111,彗星(六〇一空),"[3,5,7,7]",0,0,0,0,0,11,0,4,0,1,0,0,0,0,1,0,0,0,3,"[2,3,0,3]",「九九艦爆」の後継機として開発された高速艦爆「彗星」。<br>液冷発動機装備のため運用のやや難しい機体ですが、整備体制を万全に、内地で訓練を重ねた六〇一空の精鋭が搭乗します。機動部隊決戦に向けて、錬成を重ねた六〇一空の精鋭艦爆隊です。,0
112,112,天山(六〇一空),"[3,5,8,8]",0,0,0,10,0,0,0,4,0,1,0,0,0,0,2,0,0,0,3,"[2,4,0,4]",旧式化した「九七艦攻」の後継機として開発された、新鋭艦上攻撃機「天山」。<br>本部隊は、同機を装備して内地で錬成を重ねた六〇一空による精鋭艦攻機隊です。新生空母機動部隊の打撃力を担います。,0
113,113,流星(六〇一空),"[3,5,8,8]",0,0,0,13,0,0,0,5,0,1,0,0,0,0,3,0,0,0,4,"[2,5,0,10]",艦攻と艦爆を統合した先進的な”急降下爆撃可能な雷撃機”、それが「流星」です。<br>発動機不調と重量過大に悩みながらも、開発に成功。高い性能を誇る最新鋭の艦上攻撃機です。錬成を重ねた六〇一空が機種転換し、本機を装備します。整備の行き届いた流星を定数装備した、新生艦攻隊の主力です。,0
114,114,38cm連装砲改,"[1,1,3,3]",0,0,17,0,0,0,2,0,0,3,0,0,0,0,0,0,0,3,2,"[0,12,18,0]",ビスマルク級戦艦に搭載された戦艦主砲の改修型です。<br>短～中距離での砲撃戦を意識した高速戦艦の主力兵装で、改修によってその命中精度などが大きく向上しています。,0
115,115,Ar196改,"[5,7,10,10]",0,0,0,0,0,1,1,5,0,2,0,0,0,0,5,0,0,0,2,"[1,2,0,2]",ビスマルク級などの主力艦艇に搭載された艦載水上偵察機です。<br>偵察、観測、哨戒、そして対潜水艦任務など、南大西洋で幅広く活躍した同機の改修型で、艦隊の眼の役割を担います。,0
116,116,一式徹甲弾,"[4,25,19,13]",0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,"[0,4,9,0]",遠距離砲撃戦における秘密兵器「九一式徹甲弾」の改良版です。<br>海中突入後魚雷のように敵艦水線下に突き進み、喫水下破砕を企図した特殊徹甲弾です。九一式より性能・生産性が向上しており、弾頭部には弾着観測用着色剤を充填していたと云われています。戦艦・航空戦艦・高速戦艦で使用可能です。,0
117,117,試製46cm連装砲,"[1,1,3,3]",0,0,23,0,0,0,4,0,0,1,0,0,0,0,0,0,0,4,4,"[1,18,23,0]",海軍工廠砲熕部が極秘開発した世界最大最強の戦艦主砲、その試作二連装砲です。<br>敵戦艦に対してアウトレンジが可能な最大射程40kmを超える巨砲ですが、大和型戦艦に搭載された同三連装主砲より軽量です。主力戦艦群への搭載と同主兵装としての運用が可能です。,0
118,118,紫雲,"[5,7,10,10]",0,0,0,0,0,1,0,2,0,1,0,0,0,0,8,0,0,0,4,"[1,1,0,15]",制空権を失った空でも強行偵察が可能な高性能水偵を目指して開発された、十四試高速水上偵察機「紫雲」です。火星エンジンと二重反転プロペラの採用、投下可能フロート機構などで高速高性能な次世代艦載水偵となるはずでしたが、計画通りの高性能を発揮することは叶いませんでした。就役直後の軽巡「大淀」などで、増加試作機が運用されています。,0
119,119,14cm連装砲,"[1,1,2,2]",0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,"[0,2,2,0]",巡洋艦等の主砲として開発された中距離砲の連装型です。<br>練習巡洋艦「香取」や軽巡洋艦「夕張」などに搭載されました。対艦対地用の兵装です。,0
120,120,91式高射装置,"[14,24,36,30]",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,"[0,1,0,1]",高角砲の対空射撃用の高射装置です。<br>高射機と高射射撃盤を組み合わせ、高角砲の有効な対空射撃をサポートします。やや、旧式ではありますが、主力の戦艦や巡洋艦などに搭載されました。,0
121,121,94式高射装置,"[14,24,36,30]",0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,"[0,1,0,2]",比較的新しい高角砲対空射撃用の高射装置です。<br>本高射機は測距儀がパッケージされており、高角砲の有効な対空射撃をサポートします。新造大型艦や、防空駆逐艦 「秋月」 型に搭載されました。,0
122,122,10cm連装高角砲+高射装置,"[1,1,1,16]",0,0,3,0,0,0,10,0,0,1,0,1,0,0,0,0,0,1,3,"[0,2,3,2]",「長10cm砲」といわれる10cm連装高角砲と「94式高射装置」の組み合わせによる、艦隊防空システムです。量産性が低く、また射撃装置は列強の最新鋭には劣りますが、優秀な長10cm砲と高射装置の組み合わせは艦隊の傘として十分に活躍します。,0
123,123,SKC34 20.3cm連装砲,"[1,1,2,2]",0,0,10,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,3,"[0,4,5,0]",かの国の重巡洋艦装備用に開発された連装砲です。<br>高い命中率と火力を誇る優秀な巡洋艦主兵装です。<br>中距離の砲撃戦で威力を発揮します。,0
124,124,FuMO25 レーダー,"[5,8,13,11]",0,0,3,0,0,0,7,0,0,10,0,0,0,0,9,0,0,0,4,"[0,0,27,29]",かの国で開発された艦載用レーダー(電探)です。<br>科学の国の電子兵装、残念ながら、我が連合艦隊に装備された電探よりスペックは高いです。<br>主に巡洋艦以上の大型艦艇に搭載されました。,0
125,125,61cm三連装(酸素)魚雷,"[2,3,5,5]",0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,"[2,2,1,0]",陳腐化した53cm魚雷の後継として開発された大型の61cm魚雷。<br>その三連装発射管は、駆逐艦の主力兵装として特型駆逐艦「吹雪」型などに搭載されました。その改良型である本兵装は、装填魚雷を「九三式酸素魚雷」に換装しています。,0
126,126,WG42 (Wurfgerat 42),"[15,26,37,31]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,"[1,4,2,1]",かの国で開発された対地対艦攻撃用の艦載ロケットランチャー装備「WG42」です。<br>Uボートにも搭載され、実際に運用されました。命中精度には難がありますが、ごく浅い深度なら水面下から発射可能な、潜水艦発射対地ミサイルのご先祖様のような装備で、主に対地攻撃に有効です。,0
127,127,試製FaT仕様九五式酸素魚雷改,"[2,3,32,5]",0,0,0,14,0,0,0,0,0,7,0,2,0,0,0,0,0,1,5,"[2,2,1,1]",かの国で開発されていた、ジャイロ機構によって自動変針と直線航行を繰り返し行い、面で敵艦を攻撃する「FaT航走パターン」仕様を実装した試製潜水艦搭載用酸素魚雷です。Uボートによってもたらされた技術を応用した、平面を制圧する航路を疾走する特殊な試作魚雷です。,0
128,128,試製51cm連装砲,"[1,1,3,3]",0,0,30,0,0,0,5,0,0,1,0,-1,0,0,0,0,0,4,5,"[0,30,28,0]",改「大和」型、そしてその拡大発展級である超「大和」型の主兵装として開発されている新型戦艦用大口径主砲です。<br>51cm砲が実現する群を抜いたその火力は、他の戦艦主砲の火力を圧倒します。46cm砲をも凌駕する大きさと重量なため、戦艦級の中でも限られた艦艇のみ、本兵装を装備することが可能です。,0
129,129,熟練見張員,"[16,27,39,32]",0,0,0,0,0,0,1,0,0,2,0,3,0,0,2,0,0,0,3,"[1,0,0,0]",水上戦闘艦に配備可能な熟練見張員です。<br>その鍛え抜かれた肉眼視力による偵察力・索敵力は状況によっては大きな威力を発揮し、敵艦隊のレーダー兵装が充実するまでは、特に夜戦などで水上艦隊の攻撃力を支えました。,0
130,130,12.7cm高角砲+高射装置,"[1,2,4,16]",0,0,1,0,0,0,8,0,0,1,0,1,0,0,0,0,0,1,3,"[0,2,3,2]",巡洋艦以上の大型艦の標準的な対空兵装として搭載された12.7cm連装高角砲と「94式高射装置」の組み合わせによる、艦隊防空システムです。発射速度や砲の旋回速度にやや難がありますが、高角砲と高射装置の組み合わせは艦隊の傘として重要な兵装です。,0
131,131,25mm三連装機銃 集中配備,"[4,6,21,15]",0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,3,"[0,5,2,1]",増大する敵航空兵力の脅威に対抗するため、25mm高角機銃の三連装型を集中的に複数配備した、ハリネズミのような対空機銃兵装です。命中精度にも難があり、すぐに砲身が過熱してしまう25mm機銃ですが、集中運用することで個艦防空能力を高めます。,0
132,132,零式水中聴音機,"[7,10,40,18]",0,0,0,0,0,0,0,11,0,1,0,1,0,0,1,0,0,0,3,"[0,0,3,3]",大型艦用パッシブソナー兵装です。<br>九三式水中聴音機の補音機を増強した大型グレードアップバージョンで、大和型戦艦のバルバス・バウ付近にも装備されました。専門の人員も配置して水面下の音を収集、敵潜などの早期発見に努めます。,0
133,133,381mm/50 三連装砲,"[1,1,3,3]",0,0,20,0,0,0,2,0,0,-3,0,-1,0,0,0,0,0,4,4,"[0,16,21,0]",パスタの国が生んだ三連装型の戦艦主砲です。<br>高射速の50口径、中近距離戦闘での火力は同クラス最強です。また、射程も大和型46cm砲と同等以上のカタログスペックを誇ります。ただし、砲の耐久性に難点があります。また散布界が広く、その命中率にも課題を残していました。,0
134,134,OTO 152mm三連装速射砲,"[1,2,4,4]",0,0,8,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,3,"[0,2,5,0]",パスタの国が生んだ、伝統と信頼の高性能中口径の三連装速射砲です。<br>砲の旋回や俯仰、砲弾の揚弾及び装填は主に電力で稼働する最新型です。新型高速戦艦の副砲にも採用されました。,0
135,135,90mm単装高角砲,"[1,2,4,16]",0,0,1,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,3,"[0,1,3,0]",パスタの国が生んだ、新型高速戦艦向けに開発された最新鋭の高角砲です。<br>単砲身ではありますが、発射速度も速く、バランスのよい優れた中距離対空火器です。,0
136,136,プリエーゼ式水中防御隔壁,"[6,17,28,23]",0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,3,"[0,0,24,4]",シリンダータイプの隔壁による、艦幅も重量も増やさずに水中防御を向上させる大型艦艇の防御隔壁です。タラントでの戦訓から評価が分かれますが、一定の防御効果は期待できるといわれています。<br>(戦艦・巡洋戦艦・航空戦艦・正規空母(含む装甲空母)用),0
137,137,381mm/50 三連装砲改,"[1,1,3,3]",0,0,21,0,0,0,4,0,0,-1,0,-1,0,0,0,0,0,4,5,"[0,16,22,1]",パスタの国が生んだ三連装型の戦艦主砲です。<br>高射速の50口径、中近距離戦闘での火力は同クラス最強です。また、射程も大和型46cm砲と同等以上のカタログスペックを誇ります。砲の耐久性や命中率に課題を残していましたが、改修によってその命中精度などが向上しています。,0
138,138,二式大艇,"[17,33,41,33]",0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,0,0,0,4,"[9,2,0,26]",四発の大型飛行艇「二式大型飛行艇」、通称「二式大艇」です。<br>巨大な翼と船のような構造を持つ機体で、長距離偵察や司令部要員の移動等に用いられました。同時代の世界水準を大きく超えた傑作機で、今の時代もその後継は空に海に活躍しています。,0
139,139,15.2cm連装砲改,"[1,1,2,2]",0,0,5,0,0,0,3,0,0,4,0,0,0,0,0,0,0,2,3,"[0,2,3,1]",阿賀野型軽巡シリーズの主兵装として開発された両用砲の改良改修型です。<br>対巡洋艦戦闘に重きをおいた新設計の軽巡主砲で、限定的ですが対空戦闘も可能です。改修により精度が若干向上しました。軽巡にフィットした新型の主砲兵装です。,0
140,140,96式150cm探照灯,"[8,18,42,24]",0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,"[0,0,1,3]",戦艦装備用の大型探照灯です。<br>夜戦時に敵に照射することで味方艦隊の攻撃を支援できますが、照射艦は敵艦隊からの集中攻撃を浴びるリスクがあります。<br>(戦艦級のみが装備可能です),0
141,141,32号対水上電探改,"[5,8,13,11]",0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,0,0,0,4,"[0,0,22,26]",高性能な大型対水上電探の調整改良型です。<br>遠距離射撃にも対応できるレーダー射撃管制も可能ですが、かなり大型かつ重量のある電探で大型艦しか装備できません。また、精度の高い調整と運用には練度の高い操作員が必要です。,0
142,142,15m二重測距儀+21号電探改二,"[5,8,13,11]",0,0,1,0,0,0,8,0,0,9,0,1,0,0,7,0,0,0,4,"[0,0,26,28]",大和型戦艦のために開発された射撃&電探兵装です。<br>特注の大型光学15m二重測距儀と、その上に熟練した技術者が調整を重ねた精度の高い21号対空電探を配しています。大型かつ重量もあるため、戦艦の艦橋上部構造物のみに装備可能な光学及び電波兵装です。,0
143,143,九七式艦攻(村田隊),"[3,5,8,8]",0,0,0,12,0,0,1,5,0,2,0,0,0,0,4,0,0,0,4,"[1,1,0,2]",優れた航続距離を誇り、初期の機動部隊艦載機の主力攻撃機として大活躍した傑作艦上攻撃機「九七艦攻」。同機を装備した本部隊は、高い技量と豊かな指導力を兼ね備えた村田隊長の率いる精鋭九七艦攻隊です。,0
144,144,天山一二型(村田隊),"[3,5,8,8]",0,0,0,15,0,0,1,6,0,2,0,0,0,0,4,0,0,0,5,"[2,4,0,4]",旧式化した「九七艦攻」の後継機として開発された、新鋭艦上攻撃機「天山」。同機を装備した本部隊は、高技量と豊かな指導力を兼ね備えた歴戦の空中指揮官が率いる、「天山」への機種転換が完了した精鋭艦攻隊です。,0
