Version,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
艦船ID,図鑑番号,艦名,読み,艦種,改装Lv,改装後,耐久,装甲,火力,雷撃,対空,運,速力,射程,スロット数,搭載数,建造時間,解体資源,近代化改修,レア,ドロップ文章,改装弾薬,改装鋼材,搭載燃料,搭載弾薬,ボイス,回避,対潜,索敵,初期装備,制空値,加重対空値
77,3,伊勢,いせ,9,10,82,"[74,89]","[70,89]","[74,89]","[0,0]","[28,79]","[15,69]",5,3,4,"[3,3,3,3,0]",270,"[9,18,37,3]","[4,0,1,4]",5,超弩級戦艦、伊勢型の１番艦、伊勢。<br>参ります！,500,150,85,120,0,"[22,49]","[0,0]","[10,36]","[7,4,25,-1,-1]",0,10
78,21,金剛,こんごう,8,25,209,"[63,79]","[52,69]","[63,89]","[0,0]","[24,69]","[12,49]",10,3,3,"[3,3,3,0,0]",240,"[10,14,33,3]","[3,0,1,3]",5,英国で生まれた帰国子女の金剛デース。<br>ヨロシクオネガイシマース！,400,600,80,110,0,"[30,59]","[0,0]","[13,39]","[7,11,37,-1,-1]",0,21
79,23,榛名,はるな,8,25,211,"[63,79]","[52,69]","[63,89]","[0,0]","[24,69]","[15,69]",10,3,3,"[3,3,3,0,0]",240,"[10,14,33,3]","[3,0,1,3]",5,高速戦艦、榛名、着任しました。<br>あなたが提督なのね？　よろしくお願い致します。,400,600,80,110,0,"[30,59]","[0,0]","[13,39]","[7,11,37,-1,-1]",0,21
80,1,長門,ながと,9,30,275,"[80,94]","[75,89]","[82,99]","[0,0]","[31,89]","[20,79]",5,3,4,"[3,3,3,3,0]",300,"[10,20,40,3]","[5,0,1,4]",7,私が、戦艦長門だ。よろしく頼むぞ。<br>敵戦艦との殴り合いなら任せておけ。,800,900,100,130,0,"[24,49]","[0,0]","[12,39]","[8,4,25,-1,-1]",0,11
81,2,陸奥,むつ,9,30,276,"[80,94]","[75,89]","[82,99]","[0,0]","[31,89]","[3,39]",5,3,4,"[3,3,3,3,0]",300,"[10,20,40,3]","[5,0,1,4]",7,長門型戦艦２番艦の陸奥よ。よろしくね。<br>あまり火遊びはしないでね…お願いよ。,800,900,100,130,0,"[24,49]","[0,0]","[12,39]","[8,4,25,-1,-1]",0,11
82,102,伊勢改,いせ,10,0,0,"[77,89]","[74,92]","[63,83]","[0,0]","[45,92]","[30,79]",5,3,4,"[11,11,11,14,0]",270,"[10,15,36,3]","[4,0,3,4]",6,航空戦艦、伊勢です。<br>後部飛行甲板と、カタパルト２基で航空戦力を運用可能よ！,0,0,95,105,0,"[36,77]","[0,0]","[20,49]","[7,26,-1,-1,-1]",6,13
83,6,赤城,あかぎ,11,30,277,"[69,79]","[28,54]","[0,39]","[0,0]","[32,69]","[12,49]",10,1,4,"[18,18,27,10,0]",270,"[8,12,30,7]","[0,0,5,3]",6,航空母艦、赤城です。<br>空母機動部隊を編制するなら、私にお任せくださいませ。,700,300,60,55,1,"[28,49]","[0,0]","[44,69]","[20,23,16,-1,-1]",21,11
84,7,加賀,かが,11,30,278,"[71,89]","[29,59]","[0,39]","[0,0]","[28,69]","[10,49]",10,1,4,"[18,18,45,12,0]",260,"[8,14,32,9]","[0,0,5,3]",5,航空母艦、加賀です。<br>貴方が私の提督なの？　それなりに期待はしているわ。,750,300,60,55,1,"[27,49]","[0,0]","[40,69]","[20,23,16,-1,-1]",21,10
85,24,霧島,きりしま,8,25,212,"[63,79]","[52,69]","[63,89]","[0,0]","[24,69]","[10,49]",10,3,3,"[3,3,3,0,0]",240,"[10,14,33,3]","[3,0,1,3]",5,マイク音量大丈夫…？チェック、1，2……。<br>よし。はじめまして、私、霧島です。,400,600,80,110,0,"[30,59]","[0,0]","[13,39]","[7,11,37,-1,-1]",0,21
86,22,比叡,ひえい,8,25,210,"[63,79]","[52,69]","[63,89]","[0,0]","[24,69]","[10,49]",10,3,3,"[3,3,3,0,0]",240,"[10,14,33,3]","[3,0,1,3]",5,金剛お姉さまの妹分、比叡です。<br>経験を積んで、姉さまに少しでも近づきたいです。,400,600,80,110,0,"[30,59]","[0,0]","[13,39]","[7,11,37,-1,-1]",0,21
87,4,日向,ひゅうが,9,10,88,"[74,89]","[70,89]","[74,94]","[0,0]","[28,79]","[15,69]",5,3,4,"[3,3,3,3,0]",270,"[9,18,37,3]","[4,0,1,4]",5,あなたが提督？ふうん。いいけど。<br>伊勢型戦艦２番艦、日向よ。一応覚えておいて。,500,150,85,120,0,"[22,49]","[0,0]","[10,36]","[7,4,25,-1,-1]",0,10
88,103,日向改,ひゅうが,10,0,0,"[77,89]","[74,92]","[63,83]","[0,0]","[45,92]","[30,79]",5,3,4,"[11,11,11,14,0]",270,"[10,15,36,3]","[4,0,3,4]",6,伊勢型航空戦艦、日向。<br>推して参る。,0,0,95,105,0,"[36,77]","[0,0]","[20,49]","[7,26,-1,-1,-1]",6,13
89,25,鳳翔,ほうしょう,7,25,285,"[30,49]","[15,39]","[0,19]","[0,0]","[10,29]","[20,69]",5,1,2,"[8,11,0,0,0]",120,"[2,1,12,2]","[0,0,1,2]",3,航空母艦、鳳翔です。<br>ふつつか者ですが、よろしくお願い致します。,350,150,25,25,0,"[24,39]","[0,0]","[32,69]","[23,-1,-1,-1,-1]",0,6
90,8,蒼龍,そうりゅう,11,30,279,"[50,79]","[27,49]","[0,29]","[0,0]","[26,69]","[10,49]",10,1,4,"[12,27,18,7,0]",250,"[7,10,26,6]","[0,0,4,3]",5,航空母艦、蒼龍です。<br>空母機動部隊を編制するなら、私もぜひ入れてね！,650,300,50,50,0,"[33,59]","[0,0]","[42,69]","[20,23,16,-1,-1]",17,10
91,9,飛龍,ひりゅう,11,30,280,"[50,79]","[27,49]","[0,29]","[0,0]","[26,69]","[35,89]",10,1,4,"[12,27,18,7,0]",250,"[7,10,26,6]","[0,0,4,3]",6,航空母艦、飛龍です。<br>空母戦ならお任せ！どんな苦境でも戦えます！,650,300,50,50,0,"[37,69]","[0,0]","[42,69]","[20,23,16,-1,-1]",17,10
92,66,隼鷹,じゅんよう,7,25,284,"[40,64]","[21,39]","[0,19]","[0,0]","[21,59]","[20,79]",5,1,4,"[12,18,18,10,0]",180,"[6,6,20,6]","[0,0,3,2]",4,商船改装空母、隼鷹でーすっ！<br>ひゃっはぁー！,500,250,40,40,0,"[28,54]","[0,0]","[38,59]","[19,23,16,-1,-1]",6,9
93,67,朧,おぼろ,2,20,230,"[15,29]","[5,19]","[10,29]","[27,69]","[12,39]","[10,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[0,1,0,0]",1,アタシ、綾波型駆逐艦「朧」。<br>誰にも負けない…たぶん……,100,100,15,20,0,"[41,79]","[20,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
94,69,漣,さざなみ,2,20,232,"[15,29]","[5,19]","[10,29]","[27,69]","[12,39]","[10,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[0,1,0,0]",2,綾波型駆逐艦「漣」です、ご主人さま。<br>こう書いてさざなみと読みます。,100,100,15,20,0,"[41,79]","[20,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
95,85,朝潮,あさしお,2,20,248,"[16,33]","[6,19]","[10,29]","[24,79]","[12,39]","[12,49]",10,1,2,"[0,0,0,0,0]",22,"[1,1,5,0]","[1,1,0,0]",3,駆逐艦、朝潮です。<br>勝負ならいつでも受けて立つ覚悟です。,100,100,15,20,0,"[43,79]","[21,49]","[5,19]","[2,14,-1,-1,-1]",0,6
96,86,大潮,おおしお,2,20,249,"[16,33]","[6,19]","[10,29]","[24,69]","[9,39]","[10,49]",10,1,2,"[0,0,0,0,0]",22,"[1,1,5,0]","[0,1,0,1]",1,駆逐艦、大潮です～！<br>小さな体に大きな魚雷！　お任せください。,100,100,15,20,0,"[43,79]","[21,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
97,87,満潮,みちしお,2,20,250,"[16,33]","[6,19]","[10,29]","[24,69]","[9,39]","[10,49]",10,1,2,"[0,0,0,0,0]",22,"[1,1,5,0]","[0,1,0,1]",1,満潮よ。<br>私、なんでこんな部隊に配属されたのかしら。,100,100,15,20,0,"[43,79]","[21,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
98,88,荒潮,あらしお,2,20,251,"[16,33]","[6,19]","[10,29]","[24,69]","[9,39]","[10,49]",10,1,2,"[0,0,0,0,0]",22,"[1,1,5,0]","[0,1,0,1]",1,あら。自己紹介まだでしたかー。<br>私、荒潮です。,100,100,15,20,0,"[43,79]","[21,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
99,39,球磨,くま,3,20,215,"[25,39]","[10,29]","[14,49]","[24,89]","[13,59]","[12,49]",10,2,2,"[1,1,0,0,0]",60,"[2,2,10,0]","[0,1,0,2]",4,クマー。<br>よろしくだクマ。,200,200,25,25,0,"[36,79]","[19,59]","[8,39]","[4,25,-1,-1,-1]",0,7
100,40,多摩,たま,3,20,216,"[25,39]","[10,29]","[14,39]","[24,79]","[13,49]","[10,49]",10,2,2,"[1,1,0,0,0]",60,"[2,2,10,0]","[0,1,0,1]",2,軽巡、多摩です。<br>猫じゃないにゃ。,200,200,25,25,0,"[36,69]","[19,59]","[8,39]","[4,-1,-1,-1,-1]",0,7
101,41,木曾,きそ,3,20,217,"[25,39]","[10,29]","[14,39]","[24,79]","[13,49]","[10,49]",10,2,2,"[1,1,0,0,0]",60,"[2,2,10,0]","[0,1,0,1]",1,木曾だ、お前に最高の勝利を与えてやる。,200,200,25,25,0,"[36,69]","[19,59]","[8,39]","[4,-1,-1,-1,-1]",0,7
102,49,千歳,ちとせ,16,10,104,"[40,59]","[18,39]","[9,29]","[0,0]","[14,29]","[10,49]",10,1,2,"[12,12,0,0,0]",140,"[3,1,13,4]","[0,0,1,2]",2,千歳です。<br>日本では初めての水上機母艦なのよ。よろしくね！,70,40,35,35,0,"[20,39]","[0,0]","[34,69]","[10,25,-1,-1,-1]",0,23
103,50,千代田,ちよだ,16,10,105,"[40,59]","[18,39]","[9,29]","[0,0]","[14,29]","[10,49]",10,1,2,"[12,12,0,0,0]",140,"[3,1,13,4]","[0,0,1,2]",1,水上機母艦、千代田です。<br>姉の千歳が、いつも迷惑かけてないですか？,70,40,35,35,0,"[20,39]","[0,0]","[34,69]","[10,25,-1,-1,-1]",0,23
104,95,千歳改,ちとせ,16,12,106,"[41,59]","[20,39]","[9,29]","[0,29]","[15,29]","[10,49]",10,1,3,"[12,6,6,0,0]",150,"[3,1,14,4]","[0,0,2,2]",3,ダイエットして空母になった千歳です！<br>足も速くなったの。本でも出そうかしら！,70,80,35,40,1,"[25,44]","[0,0]","[36,69]","[25,26,2,-1,-1]",4,7
105,96,千代田改,ちよだ,16,12,107,"[41,59]","[20,39]","[9,29]","[0,29]","[15,29]","[10,49]",10,1,3,"[12,6,6,0,0]",150,"[3,1,14,4]","[0,0,2,2]",3,空母になった千代田です。<br>ぜひ、千歳お姉と一緒に機動部隊を編制してね！,70,80,35,40,1,"[25,44]","[0,0]","[36,69]","[25,26,2,-1,-1]",4,7
106,99,千歳甲,ちとせ,16,15,108,"[42,59]","[21,39]","[9,29]","[15,72]","[17,39]","[10,59]",10,1,3,"[12,6,6,0,0]",160,"[3,3,15,3]","[0,2,1,2]",3,ダイエットして空母になった千歳です！<br>足も速くなったの。本でも出そうかしら！,100,60,35,45,3,"[27,49]","[0,0]","[30,69]","[25,41,41,-1,-1]",0,8
107,100,千代田甲,ちよだ,16,15,109,"[42,59]","[21,39]","[9,29]","[15,72]","[17,39]","[10,59]",10,1,3,"[12,6,6,0,0]",160,"[3,3,15,3]","[0,2,1,2]",3,空母になった千代田です。<br>ぜひ、千歳お姉と一緒に機動部隊を編制してね！,100,60,35,45,3,"[27,49]","[0,0]","[30,69]","[25,41,41,-1,-1]",0,8
108,104,千歳航,ちとせ,7,35,291,"[47,59]","[25,39]","[0,19]","[0,0]","[20,49]","[10,59]",10,1,3,"[21,9,6,0,0]",190,"[5,5,17,4]","[0,0,3,2]",4,ダイエットして空母になった千歳です！<br>足も速くなったの。本でも出そうかしら！,550,250,40,40,3,"[37,67]","[0,0]","[36,69]","[20,16,-1,-1,-1]",22,8
109,105,千代田航,ちよだ,7,35,292,"[47,59]","[25,39]","[0,19]","[0,0]","[20,49]","[10,59]",10,1,3,"[21,9,6,0,0]",190,"[5,5,17,4]","[0,0,3,2]",4,空母になった千代田です。<br>ぜひ、千歳お姉と一緒に機動部隊を編制してね！,550,250,40,40,3,"[37,67]","[0,0]","[36,69]","[20,16,-1,-1,-1]",22,8
110,106,翔鶴,しょうかく,11,30,288,"[62,79]","[33,49]","[0,39]","[0,0]","[29,69]","[10,49]",10,1,4,"[21,21,21,12,0]",360,"[7,10,30,10]","[0,0,4,3]",5,翔鶴型航空母艦１番艦、翔鶴です。<br>一航戦、二航戦の先輩方に、少しでも近づけるように<br>瑞鶴と一緒に頑張ります！,750,350,55,55,3,"[36,59]","[0,0]","[44,69]","[20,23,16,-1,-1]",22,10
111,107,瑞鶴,ずいかく,11,25,112,"[62,79]","[33,49]","[0,39]","[0,0]","[29,69]","[40,89]",10,1,4,"[21,21,21,12,0]",360,"[7,10,30,10]","[0,0,4,3]",6,翔鶴型航空母艦２番艦、妹の瑞鶴です。<br>幸運の空母ですって？そうじゃないの、一生懸命やってるだけ…よ。艦載機がある限り、負けないわ！,750,350,55,55,3,"[39,69]","[0,0]","[44,69]","[20,23,16,-1,-1]",22,10
112,108,瑞鶴改,ずいかく,11,77,462,"[75,90]","[42,72]","[0,39]","[0,0]","[40,79]","[42,89]",10,1,4,"[24,24,24,12,0]",360,"[7,10,30,10]","[0,0,4,3]",7,翔鶴型航空母艦２番艦、妹の瑞鶴です。<br>幸運の空母ですって？そうじゃないの、一生懸命やってるだけ…よ。艦載機がある限り、負けないわ！,3700,1200,65,70,3,"[42,79]","[0,0]","[48,89]","[21,24,51,-1,-1]",29,60
113,109,鬼怒,きぬ,3,17,289,"[26,39]","[10,29]","[14,39]","[24,79]","[13,49]","[12,49]",10,2,2,"[1,1,0,0,0]",75,"[2,2,10,0]","[0,1,0,1]",4,きたきたぁ！　鬼怒、いよいよ到着しましたよ！,200,200,25,25,3,"[38,69]","[20,59]","[8,39]","[4,-1,-1,-1,-1]",0,7
114,110,阿武隈,あぶくま,3,17,290,"[27,39]","[10,29]","[14,39]","[24,79]","[13,49]","[12,49]",10,2,2,"[1,1,0,0,0]",75,"[2,2,10,0]","[0,1,0,1]",5,こ、こんにちは、軽巡、阿武隈です。,200,200,25,25,3,"[39,69]","[20,59]","[8,39]","[4,-1,-1,-1,-1]",0,7
115,111,夕張,ゆうばり,3,25,293,"[19,33]","[10,29]","[17,42]","[20,69]","[10,42]","[12,49]",10,2,3,"[0,0,0,0,0]",82,"[2,2,7,0]","[1,1,1,1]",5,はーい、お待たせ？<br>兵装実験軽巡、夕張、到着いたしました！,280,240,20,30,3,"[42,69]","[13,39]","[6,39]","[4,4,-1,-1,-1]",0,6
116,112,瑞鳳,ずいほう,7,25,117,"[32,55]","[19,39]","[0,19]","[0,0]","[14,29]","[30,79]",10,1,3,"[18,9,3,0,0]",160,"[2,2,13,4]","[0,0,2,2]",5,瑞鳳です。<br>軽空母ですが、練度があがれば、正規空母並の活躍をおみせできます。,380,210,35,35,3,"[29,49]","[0,0]","[34,69]","[23,16,-1,-1,-1]",0,7
117,113,瑞鳳改,ずいほう,7,0,0,"[45,69]","[25,59]","[0,29]","[0,0]","[18,39]","[40,89]",10,1,4,"[18,12,12,6,0]",160,"[4,6,20,6]","[0,0,3,2]",6,瑞鳳です。<br>軽空母ですが、練度があがれば、正規空母並の活躍をおみせできます。,0,0,40,40,3,"[29,59]","[0,0]","[35,79]","[21,24,17,-1,-1]",25,8
118,114,大井改二,おおい,4,0,0,"[43,59]","[23,63]","[17,63]","[90,139]","[15,49]","[13,49]",10,2,3,"[0,0,0,0,0]",75,"[2,9,9,0]","[1,5,0,1]",7,重雷装艦として、生まれ変わった大井です。<br>お久しぶりです！,0,0,25,75,3,"[43,83]","[27,79]","[9,43]","[10,58,30,-1,-1]",0,35
119,115,北上改二,きたかみ,4,0,0,"[43,59]","[23,63]","[17,63]","[90,139]","[15,49]","[30,79]",10,2,3,"[0,0,0,0,0]",75,"[2,6,9,0]","[1,5,0,1]",7,新しい北上、それがアタシ。<br>酸素魚雷を満載して、ちょっと大人になったでしょ。,0,0,25,75,3,"[43,83]","[27,79]","[9,43]","[10,58,30,-1,-1]",0,35
120,116,三隈,みくま,5,30,121,"[40,59]","[30,59]","[40,59]","[18,69]","[18,59]","[5,49]",10,2,3,"[2,2,2,0,0]",90,"[2,3,12,1]","[2,1,0,2]",5,ごきげんよう、三隈です。<br>最上さんはどこにいらっしゃるのかしら？,270,110,40,65,3,"[31,62]","[0,0]","[14,39]","[6,25,-1,-1,-1]",0,8
121,117,三隈改,みくま,6,0,0,"[50,67]","[37,71]","[24,76]","[18,69]","[20,59]","[10,69]",10,2,4,"[5,6,5,8,0]",100,"[2,2,13,4]","[2,1,3,2]",6,提督、三隈、新型になりましてよ,0,0,50,55,3,"[34,69]","[0,0]","[22,59]","[50,30,26,-1,-1]",4,20
122,119,舞風,まいかぜ,2,20,294,"[16,34]","[6,19]","[10,29]","[24,69]","[9,39]","[10,49]",10,1,2,"[0,0,0,0,0]",24,"[1,1,6,0]","[0,1,0,1]",4,こんにちは！陽炎型駆逐艦、舞風です。<br>暗い雰囲気は苦手です！,100,100,15,20,3,"[45,79]","[24,49]","[6,19]","[2,39,-1,-1,-1]",0,36
123,120,衣笠,きぬがさ,5,25,295,"[37,49]","[26,37]","[30,54]","[12,59]","[16,59]","[20,69]",10,2,3,"[2,2,2,0,0]",60,"[2,2,10,1]","[2,1,0,2]",4,はーいっ！衣笠さんの登場よ！<br>青葉ともども、よろしくね！,250,300,35,50,3,"[33,69]","[0,0]","[11,39]","[6,37,-1,-1,-1]",0,20
124,124,鈴谷,すずや,5,35,129,"[40,59]","[30,59]","[40,59]","[18,69]","[18,59]","[5,49]",10,2,3,"[2,2,2,0,0]",90,"[2,3,12,1]","[2,1,0,2]",4,鈴谷だよ！にぎやかな艦隊だね！<br>よろしくね！,270,110,40,65,3,"[31,62]","[0,0]","[14,39]","[6,25,-1,-1,-1]",0,8
125,125,熊野,くまの,5,35,130,"[40,59]","[30,59]","[40,59]","[18,69]","[18,59]","[5,49]",10,2,3,"[2,2,2,0,0]",90,"[2,3,12,1]","[2,1,0,2]",4,ごきげんよう、<br>わたくしが重巡、熊野ですわ！,270,110,40,65,3,"[31,62]","[0,0]","[14,39]","[6,25,-1,-1,-1]",0,8
126,126,伊168,い168,13,50,398,"[10,17]","[3,17]","[2,7]","[24,59]","[0,0]","[10,49]",5,1,1,"[0,0,0,0,0]",22,"[1,2,2,1]","[0,2,0,0]",3,伊１６８よ。何よ、言いにくいの？<br>じゃ、イムヤでいいわ…よろしくねっ！,130,200,10,20,3,"[15,39]","[0,0]","[9,29]","[-1,-1,-1,-1,-1]",0,0
127,127,伊58,い58,13,50,399,"[14,19]","[4,19]","[2,9]","[30,69]","[0,0]","[40,79]",5,1,1,"[0,0,0,0,0]",22,"[1,2,2,1]","[0,2,0,0]",4,こんにちは！ 伊五十八です。<br>ゴーヤって呼んでもいいよ！苦くなんかないよぉ！,140,200,10,20,3,"[13,36]","[0,0]","[10,39]","[-1,-1,-1,-1,-1]",0,0
128,128,伊8,い8,13,50,400,"[15,19]","[4,19]","[2,9]","[30,69]","[0,0]","[20,59]",5,1,1,"[0,0,0,0,0]",22,"[1,2,2,1]","[0,2,0,0]",5,グーテンターク…あ、違った、ごめんなさいね…<br>「はち」と呼んでくださいね。,150,200,10,20,3,"[14,37]","[0,0]","[10,39]","[-1,-1,-1,-1,-1]",0,0
129,129,鈴谷改,すずや,6,0,0,"[50,67]","[37,72]","[24,75]","[18,69]","[20,59]","[10,69]",10,2,4,"[5,6,5,6,0]",100,"[2,2,13,4]","[2,1,3,2]",5,鈴谷だよ！にぎやかな艦隊だね！<br>よろしくね！,0,0,50,55,3,"[34,69]","[0,0]","[22,59]","[6,30,26,-1,-1]",4,20
130,130,熊野改,くまの,6,0,0,"[50,67]","[37,72]","[24,75]","[18,69]","[20,59]","[10,69]",10,2,4,"[5,6,5,6,0]",100,"[2,2,13,4]","[2,1,3,2]",5,ごきげんよう、<br>わたくしが重巡、熊野ですわ！,0,0,50,55,3,"[34,69]","[0,0]","[22,59]","[6,28,26,-1,-1]",4,8
131,131,大和,やまと,9,60,136,"[93,98]","[88,108]","[96,129]","[0,0]","[50,94]","[12,79]",5,4,4,"[7,7,7,7,0]",480,"[35,50,100,10]","[7,0,2,5]",8,大和型戦艦、一番艦、大和。<br>推して参ります！,3000,2500,250,300,3,"[27,59]","[0,0]","[15,39]","[9,12,59,-1,-1]",0,14
132,132,秋雲,あきぐも,2,30,301,"[16,34]","[6,19]","[10,29]","[24,69]","[9,39]","[14,49]",10,1,2,"[0,0,0,0,0]",24,"[1,1,6,0]","[0,1,0,1]",4,秋雲、着任！<br>提督よろしくねっ！,110,120,15,20,3,"[45,79]","[24,49]","[6,19]","[2,39,-1,-1,-1]",0,36
133,133,夕雲,ゆうぐも,2,30,302,"[16,34]","[6,19]","[10,30]","[24,69]","[9,39]","[12,49]",10,1,2,"[0,0,0,0,0]",24,"[1,1,6,0]","[0,1,0,1]",4,夕雲型一番艦、夕雲、着任しました。<br>提督、甘えてくれても、いいんですよ？,110,130,15,20,3,"[47,80]","[27,52]","[6,19]","[2,39,-1,-1,-1]",0,36
134,134,巻雲,まきぐも,2,30,303,"[16,34]","[6,19]","[10,30]","[24,69]","[9,39]","[11,49]",10,1,2,"[0,0,0,0,0]",24,"[1,1,6,0]","[0,1,0,1]",4,夕雲型駆逐艦、巻雲といいます。<br>夕雲姉さんを見習って、頑張ります！,110,120,15,20,3,"[47,80]","[27,52]","[6,19]","[2,39,-1,-1,-1]",0,36
135,135,長波,ながなみ,2,30,304,"[16,34]","[6,19]","[10,30]","[24,69]","[9,39]","[13,49]",10,1,2,"[0,0,0,0,0]",24,"[1,1,6,0]","[0,1,0,1]",4,夕雲型駆逐艦四番艦、長波サマだよ！<br>さーいくぜ、オーッ！,110,130,15,20,3,"[47,80]","[27,52]","[6,19]","[2,39,-1,-1,-1]",0,36
136,136,大和改,やまと,9,0,0,"[96,108]","[92,118]","[92,139]","[0,0]","[68,104]","[13,79]",5,4,4,"[7,7,7,7,0]",480,"[35,50,110,20]","[6,0,3,6]",8,大和型戦艦、一番艦、大和。<br>対空火器を大幅強化致しました！,0,0,250,325,3,"[28,64]","[0,0]","[17,39]","[9,10,28,-1,-1]",0,32
137,137,阿賀野,あがの,3,35,305,"[30,45]","[17,32]","[20,42]","[24,72]","[17,60]","[10,49]",10,2,3,"[2,2,2,0,0]",60,"[3,4,13,1]","[1,1,1,2]",5,こんにちはーっ！<br>最新鋭軽巡の阿賀野でーすっ。ふふ。,300,220,30,35,3,"[37,72]","[25,70]","[12,45]","[65,66,-1,-1,-1]",0,32
138,138,能代,のしろ,3,35,306,"[30,45]","[17,32]","[20,42]","[24,72]","[17,60]","[10,49]",10,2,3,"[2,2,2,0,0]",60,"[3,4,13,1]","[1,1,1,2]",5,阿賀野型軽巡二番艦、能代。<br>着任しました。よろしくどうぞ！,300,220,30,35,3,"[37,72]","[25,70]","[12,45]","[65,66,-1,-1,-1]",0,32
139,139,矢矧,やはぎ,3,35,307,"[31,45]","[17,33]","[20,42]","[24,72]","[17,63]","[13,59]",10,2,3,"[2,2,2,0,0]",60,"[3,4,13,1]","[1,1,1,2]",6,軽巡矢矧、着任したわ。<br>提督、最後まで頑張っていきましょう！,300,220,30,35,3,"[38,72]","[25,70]","[13,45]","[65,66,-1,-1,-1]",0,32
140,140,酒匂,さかわ,3,35,314,"[31,45]","[17,32]","[19,41]","[23,71]","[17,62]","[20,49]",10,2,3,"[2,2,2,0,0]",60,"[3,4,13,1]","[1,1,1,2]",5,ぴゃん♪　阿賀野型軽巡四番艦、酒匂です！<br>司令、よろしくね！,300,220,30,35,3,"[36,72]","[27,72]","[12,45]","[65,66,-1,-1,-1]",0,32
141,141,五十鈴改二,いすず,3,0,0,"[44,59]","[30,69]","[18,59]","[24,79]","[45,84]","[13,67]",10,1,3,"[0,0,0,0,0]",60,"[2,2,10,0]","[1,2,4,2]",5,五十鈴です。水雷戦隊の指揮ならお任せ。<br>全力で提督を勝利に導くわ。よろしくね。,0,0,25,30,1,"[42,79]","[54,94]","[15,59]","[28,30,45,-1,-1]",0,25
142,142,衣笠改二,きぬがさ,5,0,0,"[53,65]","[35,73]","[38,78]","[24,74]","[22,66]","[13,65]",10,2,4,"[2,2,2,2,0]",60,"[3,7,16,1]","[2,1,1,2]",6,はーいっ！衣笠さんの登場よ！<br>青葉ともども、よろしくね！,0,0,35,65,3,"[38,79]","[0,0]","[13,54]","[50,15,-1,-1,-1]",0,9
143,143,武蔵,むさし,9,40,148,"[94,98]","[88,108]","[96,129]","[0,0]","[50,94]","[10,79]",5,4,4,"[7,7,7,7,0]",480,"[35,50,100,10]","[7,0,2,5]",7,フッ、随分待たせたようだな……。<br>大和型戦艦二番艦、武蔵。参る！,3000,2500,250,300,3,"[27,59]","[0,0]","[16,40]","[9,12,59,-1,-1]",0,14
144,144,夕立改二,ゆうだち,2,0,0,"[31,58]","[14,52]","[17,73]","[37,93]","[16,59]","[20,59]",10,1,3,"[0,0,0,0,0]",22,"[1,2,10,0]","[2,2,1,1]",6,こんにちは、白露型駆逐艦「夕立」よ。<br>よろしくね！,0,0,15,20,1,"[46,89]","[28,69]","[12,49]","[63,15,-1,-1,-1]",0,8
145,145,時雨改二,しぐれ,2,0,0,"[31,49]","[14,52]","[13,59]","[28,84]","[24,72]","[50,79]",10,1,3,"[0,0,0,0,0]",22,"[1,2,10,0]","[2,2,1,1]",6,僕は白露型駆逐艦、「時雨」。<br>これからよろしくね。,0,0,15,20,3,"[62,93]","[30,69]","[9,43]","[28,27,-1,-1,-1]",0,15
146,146,木曾改二,きそ,4,0,0,"[44,59]","[24,65]","[18,64]","[80,110]","[24,72]","[13,69]",10,2,3,"[0,0,0,0,0]",75,"[2,6,9,0]","[1,5,0,1]",6,木曾だ、お前に最高の勝利を与えてやる。,0,0,25,50,1,"[45,84]","[32,82]","[13,49]","[58,27,40,-1,-1]",0,51
147,147,Верный,ひびき,2,0,0,"[37,49]","[15,57]","[13,54]","[30,89]","[18,59]","[20,77]",10,1,3,"[0,0,0,0,0]",20,"[1,3,11,0]","[1,2,1,1]",6,ヴェールヌイだ。<br>その活躍ぶりから不死鳥の通り名もあるよ。,0,0,15,25,3,"[47,89]","[30,74]","[10,44]","[-1,-1,-1,-1,-1]",0,8
148,148,武蔵改,むさし,9,0,0,"[97,108]","[92,119]","[92,139]","[0,0]","[60,99]","[9,79]",5,4,4,"[7,7,7,7,0]",480,"[35,50,110,20]","[6,0,3,6]",7,大和型二番艦、武蔵、推参する。<br>どうだ…この色、装束も似合うだろう？,0,0,250,325,7,"[27,63]","[0,0]","[18,40]","[9,40,28,-1,-1]",0,51
149,149,金剛改二,こんごう,8,0,0,"[82,99]","[70,94]","[76,98]","[0,0]","[30,84]","[15,79]",10,3,4,"[3,3,3,3,0]",240,"[10,14,33,3]","[4,0,2,4]",7,英国で生まれた帰国子女の金剛デース。<br>ヨロシクオネガイシマース！,0,0,100,125,3,"[37,72]","[0,0]","[16,49]","[8,30,28,-1,-1]",0,22
